scenario,rewiring,topology,model_run,friendly_name,network_class,convergence_rate,final_cooperativity,final_polarization,time_to_majority,rel_vs_static_rate,rel_vs_static_coop,rel_vs_static_polar,rel_vs_static_time,rel_vs_random_rate,rel_vs_random_coop,rel_vs_random_polar,rel_vs_random_time,better_than_static_rate,better_than_static_coop,better_than_static_polar,better_than_static_time,better_than_random_rate,better_than_random_coop,better_than_random_polar,better_than_random_time
bridge,diff,DPAH,0,bridge (opposite),directed,0.07906363680638498,0.30710258595287515,0.923769966870305,,2.1771673215015457,1.042389191996865,1.0087814561085418,0.8058165203038364,1.3429777225696788,0.6935113993063743,1.0934327560246404,0.8371348595057309,True,True,False,True,True,False,False,True
bridge,diff,DPAH,1,bridge (opposite),directed,-0.013191494005441317,0.35064710141538674,0.9071765910945451,,2.1771673215015457,1.042389191996865,1.0087814561085418,0.8058165203038364,1.3429777225696788,0.6935113993063743,1.0934327560246404,0.8371348595057309,True,True,False,True,True,False,False,True
bridge,diff,DPAH,2,bridge (opposite),directed,0.03909851981575367,0.1753828190330349,0.948847363468103,,2.1771673215015457,1.042389191996865,1.0087814561085418,0.8058165203038364,1.3429777225696788,0.6935113993063743,1.0934327560246404,0.8371348595057309,True,True,False,True,True,False,False,True
bridge,diff,DPAH,2,bridge (opposite),directed,0.43855849438408884,0.30386349484662334,0.9238992857683943,,2.1771673215015457,1.042389191996865,1.0087814561085418,0.8058165203038364,1.3429777225696788,0.6935113993063743,1.0934327560246404,0.8371348595057309,True,True,False,True,True,False,False,True
bridge,diff,DPAH,3,bridge (opposite),directed,0.3024726864511693,0.30238663550999934,0.9228861747091085,15149.0,2.1771673215015457,1.042389191996865,1.0087814561085418,0.8058165203038364,1.3429777225696788,0.6935113993063743,1.0934327560246404,0.8371348595057309,True,True,False,True,True,False,False,True
bridge,diff,DPAH,4,bridge (opposite),directed,0.09258668260550366,0.42265279086582186,0.882434574812638,,2.1771673215015457,1.042389191996865,1.0087814561085418,0.8058165203038364,1.3429777225696788,0.6935113993063743,1.0934327560246404,0.8371348595057309,True,True,False,True,True,False,False,True
bridge,diff,DPAH,5,bridge (opposite),directed,-0.14273474701587885,0.4020648016413279,0.8872759318496495,19539.0,2.1771673215015457,1.042389191996865,1.0087814561085418,0.8058165203038364,1.3429777225696788,0.6935113993063743,1.0934327560246404,0.8371348595057309,True,True,False,True,True,False,False,True
bridge,diff,DPAH,6,bridge (opposite),directed,-0.13932918857128007,0.32784766477654187,0.9170729219655277,,2.1771673215015457,1.042389191996865,1.0087814561085418,0.8058165203038364,1.3429777225696788,0.6935113993063743,1.0934327560246404,0.8371348595057309,True,True,False,True,True,False,False,True
bridge,diff,DPAH,7,bridge (opposite),directed,0.12852285073600786,0.46353797224190674,0.8583193272935907,26152.0,2.1771673215015457,1.042389191996865,1.0087814561085418,0.8058165203038364,1.3429777225696788,0.6935113993063743,1.0934327560246404,0.8371348595057309,True,True,False,True,True,False,False,True
bridge,diff,DPAH,8,bridge (opposite),directed,0.17849393359164506,0.38264051332012133,0.8947946454909219,16350.0,2.1771673215015457,1.042389191996865,1.0087814561085418,0.8058165203038364,1.3429777225696788,0.6935113993063743,1.0934327560246404,0.8371348595057309,True,True,False,True,True,False,False,True
