property,scenario,delta,Comparison
HKC,bridge,-0.033784358980195134,Clustering
HKC,bridge,-0.018389081473562136,Clustering
HKC,bridge,-0.029056061676524192,Clustering
HKC,bridge,-0.01326114818528401,Clustering
HKC,bridge,-0.016144910190501433,Clustering
HKC,bridge,-0.026867157247132872,Clustering
HKC,bridge,-0.022884869374588945,Clustering
HKC,bridge,-0.027897064622386836,Clustering
HKC,bridge,-0.02357398112398018,Clustering
HKC,bridge,-0.025742292260686472,Clustering
HKC,bridge,-0.02745988968782409,Clustering
HKC,bridge,-0.026598340331780684,Clustering
HKC,bridge,-0.02693224150066506,Clustering
HKC,bridge,-0.023070645772382326,Clustering
HKC,bridge,-0.02182431348426031,Clustering
HKC,bridge,-0.02946132212868316,Clustering
HKC,bridge,-0.02408782561163758,Clustering
HKC,bridge,-0.02594260099794271,Clustering
HKC,bridge,-0.02735376501437456,Clustering
HKC,bridge,-0.03310535252095467,Clustering
HKSW,bridge,-0.04716087523633972,Small_World
HKSW,bridge,0.06745816941935545,Small_World
HKSW,bridge,-0.034231700556237366,Small_World
HKSW,bridge,0.1366286735771749,Small_World
HKSW,bridge,0.12073522179475149,Small_World
HKSW,bridge,-0.03261581005247649,Small_World
HKSW,bridge,0.05319307385101735,Small_World
HKSW,bridge,-0.004444595732447931,Small_World
HKSW,bridge,0.02743988371254713,Small_World
HKSW,bridge,0.04608783711153386,Small_World
HKSW,bridge,-0.02539441031788825,Small_World
HKSW,bridge,0.011958387287802408,Small_World
HKSW,bridge,-0.013453310697604692,Small_World
HKSW,bridge,0.03916619636913299,Small_World
HKSW,bridge,0.021433708055078826,Small_World
HKSW,bridge,-0.0012557779777890854,Small_World
HKSW,bridge,0.052854666312501575,Small_World
HKSW,bridge,0.03296193621587662,Small_World
HKSW,bridge,0.03668263293789842,Small_World
HKSW,bridge,-0.09782310700156849,Small_World
MC,bridge,-0.071939185981119,Clustering
MC,bridge,-0.06983026351033357,Clustering
MC,bridge,-0.07403665517436664,Clustering
MC,bridge,-0.0774381774842998,Clustering
MC,bridge,-0.06638182178767602,Clustering
MC,bridge,-0.07049041836954209,Clustering
MC,bridge,-0.07562544745724556,Clustering
MC,bridge,-0.06889202969681527,Clustering
MC,bridge,-0.07600809876837035,Clustering
MC,bridge,-0.06588668483398577,Clustering
MC,bridge,-0.06868897109722533,Clustering
MC,bridge,-0.06973692531252369,Clustering
MC,bridge,-0.06478984293318832,Clustering
MC,bridge,-0.07781007833009344,Clustering
MC,bridge,-0.07506930285175545,Clustering
MC,bridge,-0.07753763327872568,Clustering
MC,bridge,-0.06740461609943339,Clustering
MC,bridge,-0.07816585189505901,Clustering
MC,bridge,-0.0754885223841771,Clustering
MC,bridge,-0.08044263833940697,Clustering
MSW,bridge,-0.7262222233589777,Small_World
MSW,bridge,-0.70272154104448,Small_World
MSW,bridge,-0.7564583603723958,Small_World
MSW,bridge,-0.7748199360244412,Small_World
MSW,bridge,-0.6666310539549791,Small_World
MSW,bridge,-0.7232934104411068,Small_World
MSW,bridge,-0.752104722125646,Small_World
MSW,bridge,-0.6878284721349728,Small_World
MSW,bridge,-0.7640000131205997,Small_World
MSW,bridge,-0.6702049631002314,Small_World
MSW,bridge,-0.6877031486313487,Small_World
MSW,bridge,-0.6949884753667708,Small_World
MSW,bridge,-0.657063378951221,Small_World
MSW,bridge,-0.7847902139073295,Small_World
MSW,bridge,-0.7470757194740512,Small_World
MSW,bridge,-0.7771145089263132,Small_World
MSW,bridge,-0.6677028645546084,Small_World
MSW,bridge,-0.7766868648328655,Small_World
MSW,bridge,-0.759930062350995,Small_World
MSW,bridge,-0.8129789390672222,Small_World
HKC,biased,-0.023978255973092777,Clustering
HKC,biased,-0.034640839395760736,Clustering
